
Words information for Health topic: 


Word  ,  Topic  ,  Total_percentage_abundance 
-------------------------------------------------------------------------------
  Health  2.951987 
database  Health  0.011486 
debilitated  Health  0.011486 
decade  Health  0.011486 
december  Health  0.011486 
decrease  Health  0.011486 
decreased  Health  0.011486 
deemed  Health  0.011486 
deeply  Health  0.011486 
delivered  Health  0.011486 
deliveries  Health  0.011486 
delivery  Health  0.011486 
dentures  Health  0.011486 
depends  Health  0.011486 
depression  Health  0.011486 
deprivation  Health  0.011486 
descent  Health  0.011486 
described  Health  0.011486 
detecting  Health  0.011486 
detects  Health  0.011486 
determined  Health  0.011486 
devices  Health  0.011486 
diabetic  Health  0.011486 
difficulty  Health  0.011486 
diligent  Health  0.011486 
dimensional  Health  0.011486 
diminishing  Health  0.011486 
dioxide  Health  0.011486 
directly  Health  0.011486 
discharged  Health  0.011486 
discovering  Health  0.011486 
diseased  Health  0.011486 
disrupt  Health  0.011486 
dissolves  Health  0.011486 
distribution  Health  0.011486 
doctor  Health  0.011486 
documented  Health  0.011486 
doesn  Health  0.011486 
donating  Health  0.011486 
donation  Health  0.011486 
donations  Health  0.011486 
donor  Health  0.011486 
doses  Health  0.011486 
dozen  Health  0.011486 
drank  Health  0.011486 
dries  Health  0.011486 
drying  Health  0.011486 
dulls  Health  0.011486 
eating  Health  0.011486 
effectiveness  Health  0.011486 
effects  Health  0.011486 
effort  Health  0.011486 
egg  Health  0.011486 
electrochemical  Health  0.011486 
elimination  Health  0.011486 
email  Health  0.011486 
embarrassed  Health  0.011486 
enabled  Health  0.011486 
energy  Health  0.011486 
epidemiology  Health  0.011486 
equates  Health  0.011486 
equipment  Health  0.011486 
especially  Health  0.011486 
ethnic  Health  0.011486 
ethnicities  Health  0.011486 
eur  Health  0.011486 
evenings  Health  0.011486 
evidence  Health  0.011486 
example  Health  0.011486 
excreting  Health  0.011486 
exercise  Health  0.011486 
existing  Health  0.011486 
expelled  Health  0.011486 
expenses  Health  0.011486 
explain  Health  0.011486 
extension  Health  0.011486 
external  Health  0.011486 
extra  Health  0.011486 
facts  Health  0.011486 
failing  Health  0.011486 
falsehoods  Health  0.011486 
fat  Health  0.011486 
father  Health  0.011486 
fatigue  Health  0.011486 
fatigued  Health  0.011486 
feels  Health  0.011486 
female  Health  0.011486 
fertilization  Health  0.011486 
fertilized  Health  0.011486 
